Date;Indicator;Value
2024-08-06;estr;3.91162
2024-08-07;estr;3.91227
2024-08-08;estr;3.9123
2024-08-09;estr;3.91234
2024-08-12;estr;3.91212
2024-08-13;estr;3.91184
2024-08-14;estr;3.9125
2024-08-15;estr;3.91251
2024-08-16;estr;3.91253
2024-08-19;estr;3.9123
2024-08-20;estr;3.91202
2024-08-21;estr;3.91266
2024-08-22;estr;3.91269
2024-08-23;estr;3.91271
2024-08-26;estr;3.91251
2024-08-27;estr;3.91223
2024-08-28;estr;3.9129
2024-08-29;estr;3.91294
2024-08-30;estr;3.91297
2024-09-02;estr;3.91269
2024-09-03;estr;3.91241
2024-09-04;estr;3.91307
2024-09-05;estr;3.91311
2024-09-06;estr;3.91314
2024-09-09;estr;3.91291
2024-09-10;estr;3.91263
2024-09-11;estr;3.91329
2024-09-12;estr;3.91332
2024-09-13;estr;3.91335
2024-09-16;estr;3.91312
2024-09-17;estr;3.91284
2024-09-18;estr;3.91352
2024-09-19;estr;3.91286
2024-09-20;estr;3.91219
2024-09-23;estr;3.90842
2024-09-24;estr;3.90745
2024-09-25;estr;3.90522
2024-09-26;estr;3.90384
2024-09-27;estr;3.90245
2024-09-30;estr;3.89871
2024-10-01;estr;3.89663
2024-10-02;estr;3.89569
2024-10-03;estr;3.8943
2024-10-04;estr;3.8929
2024-10-07;estr;3.88921
2024-10-08;estr;3.88828
2024-10-09;estr;3.886
2024-10-10;estr;3.88463
2024-10-11;estr;3.88325
2024-10-14;estr;3.87957
2024-10-15;estr;3.87867
2024-10-16;estr;3.8763
2024-10-17;estr;3.87492
2024-10-18;estr;3.87353
2024-10-21;estr;3.86987
2024-10-22;estr;3.869
2024-10-23;estr;3.86658
2024-10-24;estr;3.86448
2024-10-25;estr;3.86239
2024-10-28;estr;3.85667
2024-10-29;estr;3.85512
2024-10-30;estr;3.85193
2024-10-31;estr;3.84985
2024-11-01;estr;3.84778
2024-11-04;estr;3.84207
2024-11-05;estr;3.84056
2024-11-06;estr;3.8373
2024-11-07;estr;3.8352
2024-11-08;estr;3.83311
2024-11-11;estr;3.82743
2024-11-12;estr;3.82596
2024-11-13;estr;3.8226
2024-11-14;estr;3.8205
2024-11-15;estr;3.81841
2024-11-18;estr;3.81279
2024-11-19;estr;3.81136
2024-11-20;estr;3.80795
2024-11-21;estr;3.80587
2024-11-22;estr;3.80378
2024-11-25;estr;3.79823
2024-11-26;estr;3.79684
2024-11-27;estr;3.79334
2024-11-28;estr;3.79125
2024-11-29;estr;3.78915
2024-12-02;estr;3.78362
2024-12-03;estr;3.78227
2024-12-04;estr;3.77869
2024-12-05;estr;3.7766
2024-12-06;estr;3.7745
2024-12-09;estr;3.76899
2024-12-10;estr;3.76767
2024-12-11;estr;3.76402
2024-12-12;estr;3.76193
2024-12-13;estr;3.75982
2024-12-16;estr;3.75435
2024-12-17;estr;3.75308
2024-12-18;estr;3.74935
2024-12-19;estr;3.74656
2024-12-20;estr;3.74377
2024-12-23;estr;3.73625
2024-12-24;estr;3.73431
2024-12-27;estr;3.72419
2024-12-30;estr;3.71672
2024-12-31;estr;3.71484
2025-01-02;estr;3.70759
2025-01-03;estr;3.7048
2025-01-06;estr;3.69739
2025-01-07;estr;3.69557
2025-01-08;estr;3.69083
2025-01-09;estr;3.68803
2025-01-10;estr;3.68524
2025-01-13;estr;3.67785
2025-01-14;estr;3.67609
2025-01-15;estr;3.67126
2025-01-16;estr;3.66847
2025-01-17;estr;3.66568
2025-01-20;estr;3.65837
2025-01-21;estr;3.65666
2025-01-22;estr;3.65173
2025-01-23;estr;3.64895
2025-01-24;estr;3.64617
2025-01-27;estr;3.63893
2025-01-28;estr;3.63727
2025-01-29;estr;3.63225
2025-01-30;estr;3.62946
2025-01-31;estr;3.62667
2025-02-03;estr;3.61943
2025-02-04;estr;3.61782
2025-02-05;estr;3.61266
2025-02-06;estr;3.60915
2025-02-07;estr;3.60564
2025-02-10;estr;3.59632
2025-02-11;estr;3.59405
2025-02-12;estr;3.58802
2025-02-13;estr;3.5845
2025-02-14;estr;3.58098
2025-02-17;estr;3.57172
2025-02-18;estr;3.56952
2025-02-19;estr;3.56338
2025-02-20;estr;3.55985
2025-02-21;estr;3.55633
2025-02-24;estr;3.54714
2025-02-25;estr;3.54501
2025-02-26;estr;3.53875
2025-02-27;estr;3.53525
2025-02-28;estr;3.53174
2025-03-03;estr;3.52263
2025-03-04;estr;3.51626
2025-03-05;estr;3.51274
2025-03-06;estr;3.5092
2025-03-07;estr;3.50569
2025-03-10;estr;3.49811
2025-03-11;estr;3.49159
2025-03-12;estr;3.48807
2025-03-13;estr;3.48383
2025-03-14;estr;3.4796
2025-03-17;estr;3.47006
2025-03-18;estr;3.46268
2025-03-19;estr;3.45845
2025-03-20;estr;3.45422
2025-03-21;estr;3.44999
2025-03-24;estr;3.44062
2025-03-25;estr;3.43308
2025-03-26;estr;3.42885
2025-03-27;estr;3.42463
2025-03-28;estr;3.42041
2025-03-31;estr;3.41291
2025-04-01;estr;3.40189
2025-04-02;estr;3.39942
2025-04-03;estr;3.3952
2025-04-04;estr;3.39097
2025-04-07;estr;3.38188
2025-04-08;estr;3.37404
2025-04-09;estr;3.36981
2025-04-10;estr;3.36558
2025-04-11;estr;3.36136
2025-04-14;estr;3.35245
2025-04-15;estr;3.34444
2025-04-16;estr;3.34022
2025-04-17;estr;3.33599
2025-04-22;estr;3.31486
2025-04-23;estr;3.31063
2025-04-24;estr;3.3057
2025-04-25;estr;3.30077
2025-04-28;estr;3.29008
2025-04-29;estr;3.28106
2025-04-30;estr;3.27614
2025-05-02;estr;3.26633
2025-05-05;estr;3.25583
2025-05-06;estr;3.24663
2025-05-07;estr;3.2417
2025-05-08;estr;3.23679
2025-05-09;estr;3.23188
2025-05-12;estr;3.2216
2025-05-13;estr;3.21224
2025-05-14;estr;3.20734
2025-05-15;estr;3.20243
2025-05-16;estr;3.19752
2025-05-19;estr;3.18742
2025-05-20;estr;3.17793
2025-05-21;estr;3.17304
2025-05-22;estr;3.16811
2025-05-23;estr;3.1632
2025-05-26;estr;3.15326
2025-05-27;estr;3.14351
