"DATE","TIME PERIOD","Compounded euro short-term rate average rate, 12 months tenor (EST.B.EU000A2QQF57.CR)"
"2021-04-15","15 Apr 2021","-0.55297"
"2021-04-16","16 Apr 2021","-0.55306"
"2021-04-19","19 Apr 2021","-0.55319"
"2021-04-20","20 Apr 2021","-0.55337"
"2021-04-21","21 Apr 2021","-0.55344"
"2021-04-22","22 Apr 2021","-0.55350"
"2021-04-23","23 Apr 2021","-0.55358"
"2021-04-26","26 Apr 2021","-0.55369"
"2021-04-27","27 Apr 2021","-0.55386"
"2021-04-28","28 Apr 2021","-0.55392"
"2021-04-29","29 Apr 2021","-0.55399"
"2021-04-30","30 Apr 2021","-0.55405"
"2021-05-03","03 May 2021","-0.55443"
"2021-05-04","04 May 2021","-0.55446"
"2021-05-05","05 May 2021","-0.55452"
"2021-05-06","06 May 2021","-0.55459"
"2021-05-07","07 May 2021","-0.55465"
"2021-05-10","10 May 2021","-0.55474"
"2021-05-11","11 May 2021","-0.55490"
"2021-05-12","12 May 2021","-0.55496"
"2021-05-13","13 May 2021","-0.55502"
"2021-05-14","14 May 2021","-0.55508"
"2021-05-17","17 May 2021","-0.55517"
"2021-05-18","18 May 2021","-0.55531"
"2021-05-19","19 May 2021","-0.55536"
"2021-05-20","20 May 2021","-0.55542"
"2021-05-21","21 May 2021","-0.55547"
"2021-05-24","24 May 2021","-0.55555"
"2021-05-25","25 May 2021","-0.55573"
"2021-05-26","26 May 2021","-0.55580"
"2021-05-27","27 May 2021","-0.55586"
"2021-05-28","28 May 2021","-0.55592"
"2021-05-31","31 May 2021","-0.55603"
"2021-06-01","01 Jun 2021","-0.55622"
"2021-06-02","02 Jun 2021","-0.55627"
"2021-06-03","03 Jun 2021","-0.55632"
"2021-06-04","04 Jun 2021","-0.55638"
"2021-06-07","07 Jun 2021","-0.55645"
"2021-06-08","08 Jun 2021","-0.55659"
"2021-06-09","09 Jun 2021","-0.55663"
"2021-06-10","10 Jun 2021","-0.55669"
"2021-06-11","11 Jun 2021","-0.55672"
"2021-06-14","14 Jun 2021","-0.55681"
"2021-06-15","15 Jun 2021","-0.55694"
"2021-06-16","16 Jun 2021","-0.55697"
"2021-06-17","17 Jun 2021","-0.55702"
"2021-06-18","18 Jun 2021","-0.55707"
"2021-06-21","21 Jun 2021","-0.55714"
"2021-06-22","22 Jun 2021","-0.55726"
"2021-06-23","23 Jun 2021","-0.55732"
"2021-06-24","24 Jun 2021","-0.55737"
"2021-06-25","25 Jun 2021","-0.55742"
"2021-06-28","28 Jun 2021","-0.55749"
"2021-06-29","29 Jun 2021","-0.55762"
"2021-06-30","30 Jun 2021","-0.55768"
"2021-07-01","01 Jul 2021","-0.55775"
"2021-07-02","02 Jul 2021","-0.55780"
"2021-07-05","05 Jul 2021","-0.55787"
"2021-07-06","06 Jul 2021","-0.55798"
"2021-07-07","07 Jul 2021","-0.55802"
"2021-07-08","08 Jul 2021","-0.55806"
"2021-07-09","09 Jul 2021","-0.55811"
"2021-07-12","12 Jul 2021","-0.55818"
"2021-07-13","13 Jul 2021","-0.55830"
"2021-07-14","14 Jul 2021","-0.55833"
"2021-07-15","15 Jul 2021","-0.55838"
"2021-07-16","16 Jul 2021","-0.55842"
"2021-07-19","19 Jul 2021","-0.55852"
"2021-07-20","20 Jul 2021","-0.55862"
"2021-07-21","21 Jul 2021","-0.55866"
"2021-07-22","22 Jul 2021","-0.55871"
"2021-07-23","23 Jul 2021","-0.55875"
"2021-07-26","26 Jul 2021","-0.55882"
"2021-07-27","27 Jul 2021","-0.55892"
"2021-07-28","28 Jul 2021","-0.55895"
"2021-07-29","29 Jul 2021","-0.55900"
"2021-07-30","30 Jul 2021","-0.55903"
"2021-08-02","02 Aug 2021","-0.55923"
