Date;Ticker;Adj Close;Volume
2020-10-01;MC.PA;377.1807556152344;522770
2020-10-02;MC.PA;375.29351806640625;369092
2020-10-05;MC.PA;379.8045349121094;360824
2020-10-06;MC.PA;378.5617370605469;298711
2020-10-07;MC.PA;378.1474304199219;339680
2020-10-08;MC.PA;374.87921142578125;295725
2020-10-09;MC.PA;379.2061767578125;275802
2020-10-12;MC.PA;385.0521240234375;340973
2020-10-13;MC.PA;383.67120361328125;268226
2020-10-14;MC.PA;379.48236083984375;329409
2020-10-15;MC.PA;371.0126037597656;542296
2020-10-16;MC.PA;398.26312255859375;904898
2020-10-19;MC.PA;397.9869689941406;350404
2020-10-20;MC.PA;396.05364990234375;379163
2020-10-21;MC.PA;393.8440856933594;428130
2020-10-22;MC.PA;393.2917785644531;428472
2020-10-23;MC.PA;394.0282287597656;371843
2020-10-26;MC.PA;388.2742614746094;398248
2020-10-27;MC.PA;385.6045227050781;542810
2020-10-28;MC.PA;370.2300720214844;834554
2020-10-29;MC.PA;371.74908447265625;590020
2020-10-30;MC.PA;370.36810302734375;547480
2020-11-02;MC.PA;373.4522399902344;483742
2020-11-03;MC.PA;376.4903564453125;471809
2020-11-04;MC.PA;388.3203430175781;528473
2020-11-05;MC.PA;402.083740234375;672597
2020-11-06;MC.PA;400.93292236328125;452199
2020-11-09;MC.PA;431.6358642578125;1163330
2020-11-10;MC.PA;436.3770446777344;926951
2020-11-11;MC.PA;448.7134704589844;630882
2020-11-12;MC.PA;435.318359375;602791
2020-11-13;MC.PA;432.46441650390625;485569
2020-11-16;MC.PA;439.4151306152344;497178
2020-11-17;MC.PA;437.2977294921875;364093
2020-11-18;MC.PA;447.5626525878906;538478
2020-11-19;MC.PA;449.8642272949219;499206
2020-11-20;MC.PA;453.4546813964844;684052
2020-11-23;MC.PA;453.40869140625;466197
2020-11-24;MC.PA;455.5721740722656;485818
2020-11-25;MC.PA;454.9737548828125;544696
2020-11-26;MC.PA;456.4007263183594;286541
2020-11-27;MC.PA;456.630859375;586217
2020-11-30;MC.PA;444.5706481933594;1134522
2020-12-01;MC.PA;459.2232971191406;514698
2020-12-02;MC.PA;460.2402038574219;353373
2020-12-03;MC.PA;460.3788757324219;332716
2020-12-04;MC.PA;455.063232421875;542580
